buli	0
chibale	0
chifunda	0
chigoma	0
chikwa	0
chilubanama	0
fulaza	0
kambombo	0
kambwili	0
kanyelele	0
kapichilasenga	0
lundu	0
mapamba	0
mphyanakunda	0
mulilo	0
nthonkho	0
pondo	0
sitwe	0
tembwe	0
chingi	1
chivombo	1
chiyeke	1
lukolwe mission	1
nguvu	1
nyatanda	1
chifuwe south	2
chikonkwelo	2
dyambombola	2
kabompo	2
kabulamema	2
kalunga	2
kasamba	2
kashinakaji	2
kayombo	2
loloma	2
luansongwa	2
mayawu	2
mumbeji	2
ndungo	2
nkulwashi	2
st kalemba	2
afumba	3
aha	3
chitwa	3
kaaba	3
kabilamwandi	3
kahare	3
kandende	3
kaoma urban	3
kasabi	3
kasimba	3
katunda	3
longe	3
luampa	3
luena camp	3
lui	3
mangango mh	3
mayukwayukwa 1	3
mbanyutu	3
mulamba	3
mulwa	3
mwanambuyu	3
nakayembe	3
namilangi	3
njonjolo	3
nkenga	3
nkeyema	3
nyambi 1	3
nyambi 2	3
st. josephs	3
winda	3
zns mangango	3
army	4
chanda mukulu	4
chilongoshi	4
chilubula	4
chiombo	4
chisanga	4
college	4
kasakula	4
kasama urban	4
kateshi	4
location	4
lubushi	4
lukashi	4
lukashya	4
lukupa	4
mbusa	4
milima	4
misamfu	4
misengo	4
mulanshi	4
mulenga	4
mulobola	4
mumbi mfumu	4
mumbi mukulu	4
munkonge	4
musa	4
mwamba	4
mwasha	4
nkolemfumu	4
tazara	4
zns	4
chibende	5
kabange	5
kapalala	5
lungo mukuta	5
lwela	5
milenge	5
mulumbi	5
sokontwe	5
chalata	6
chembe	6
chengelo	6
chibefwe	6
chikupili	6
chimika	6
chingombe	6
fiwila	6
kakushi	6
kampelembe	6
kaundula	6
luanshimba	6
masansa	6
mboroma	6
mboshya	6
miloso	6
mkushi coppermine	6
moffat	6
munsakamba	6
musofu	6
nkolonga	6
nkumbi	6
nshinso	6
old mkushi	6
twatasha	6
boma	7
jivundu	7
kabanda	7
kabipupu	7
kalengwa	7
kaminzekenzeke	7
kashima	7
kinkonge	7
lubilo	7
matushi	7
miluji	7
mufumbwe	7
munyambala	7
mushima	7
chimba	8
chitimukulu	8
kalulu	8
kapolyo	8
kayambi	8
makasa	8
malole	8
mumba	8
mungwi	8
ndasa	8
ngoli	8
nseluka	8
peleti	8
rosa	8
chibwika	9
chisengi sengi	9
chiwoma	9
ikelenge	9
jimbe	9
kafweku	9
kakoma	9
kalene	9
kamapanda	9
kanihampa	9
kanyama	9
kanzenzi	9
kapundu	9
katuyola	9
kayipaka	9
kazozu	9
lumwana	9
lwawu	9
mukangala	9
musangila	9
ntambu	9
nyang’ombe	9
sachibondu	9
sailunga	9
sakapoti	9
salujinga	9
tom ilunga	9
chanka	10
chilolwa	10
chozi	10
mwenzo	10
nakonde	10
ntatumbila	10
shem	10
waitwika	10
kaanja	11
kaunga mashi	11
mbanda	11
mulonga	11
mutomena	11
nalwashi	11
nangweshi	11
shangombo	11
silowana	11
sinjembela	11
sioma	11
sipuma	11
sitoti	11
